device,host,command,timestamp,output
core-switch-01,10.5.1.20,"show interface status",20260901_092044,"Port         Name               Status       Vlan       Duplex  Speed Type
Te1/0/1                         notconnect   5            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/2                         notconnect   5            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/3                         notconnect   5            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/4                         notconnect   5            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/5                         notconnect   5            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/6                         connected    2          a-full a-1000 100/1000/2.5G/5G/10GBaseTX
Te1/0/7                         notconnect   2            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/8                         notconnect   2            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/9                         notconnect   2            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/10                        notconnect   2            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/11                        notconnect   8            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/12                        notconnect   8            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/13                        connected    8          a-full  a-100 100/1000/2.5G/5G/10GBaseTX
Te1/0/14                        notconnect   8            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/15                        notconnect   8            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/16                        notconnect   8            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/17                        monitoring   2          a-full a-1000 100/1000/2.5G/5G/10GBaseTX
Te1/0/18                        notconnect   2            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/19                        notconnect   1            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/20                        notconnect   1            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/21                        connected    79         a-full a-1000 100/1000/2.5G/5G/10GBaseTX
Te1/0/22                        notconnect   1            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/23                        notconnect   1            auto   auto 100/1000/2.5G/5G/10GBaseTX
Te1/0/24                        connected    trunk      a-full  a-10G 100/1000/2.5G/5G/10GBaseTX
Te1/1/1                         notconnect   1            auto   auto unknown
Te1/1/2                         notconnect   1            auto   auto unknown
Te1/1/3                         notconnect   1            auto   auto unknown
Te1/1/4                         notconnect   1            auto   auto unknown
Te1/1/5                         notconnect   1            auto   auto unknown
Te1/1/6                         notconnect   1            auto   auto unknown
Te1/1/7                         notconnect   1            auto   auto unknown
Te1/1/8                         notconnect   1            auto   auto unknown
Ap1/0/1                         connected    1          a-full a-1000 App-hosting port"
aruba-switch-01,172.29.129.63,"show interface status",20260901_092044,"b'show interface status\r\n% Command incomplete.\r\nAGILUSARUBASW2# '"
